uid,createDate,startTime,endTime,cpu_num,mem,gpu_num,worker_num
4538d4e8-48b8-48dd-ac95-0eee938348b9,1728305960,1728305963,1728305978,64m,896Mi,8,2
9a68c7d3-710b-47c7-916b-b1dee6cb5d05,1728305985,1728305987,1728306016,64m,896Mi,8,2
9a68c7d3-710b-47c7-916b-b1dee6cb5d05,1728305985,1728305987,1728306016,64m,896Mi,8,2
9a68c7d3-710b-47c7-916b-b1dee6cb5d05,1728305985,1728305987,1728306016,64m,896Mi,8,2
4acda717-f137-43ba-8962-2297bb640705,1728306017,1728306020,1728306024,64m,896Mi,8,2
4acda717-f137-43ba-8962-2297bb640705,1728306017,1728306020,1728306024,64m,896Mi,8,2
4acda717-f137-43ba-8962-2297bb640705,1728306017,1728306020,1728306024,64m,896Mi,8,2
d3171f76-0f5d-4b48-aa1f-230c4d2bedd3,1728305943,1728305946,1728306032,8m,32Mi,1,16
d3171f76-0f5d-4b48-aa1f-230c4d2bedd3,1728305943,1728305946,1728306032,8m,32Mi,1,16
d3171f76-0f5d-4b48-aa1f-230c4d2bedd3,1728305943,1728305946,1728306032,8m,32Mi,1,16
0fd512e1-b104-41b7-b354-8ac9e5dd06a9,1728305990,1728305992,1728306044,64m,448Mi,8,1
0fd512e1-b104-41b7-b354-8ac9e5dd06a9,1728305990,1728305992,1728306044,64m,448Mi,8,1
0fd512e1-b104-41b7-b354-8ac9e5dd06a9,1728305990,1728305992,1728306044,64m,448Mi,8,1
0771c084-2afe-4870-b607-bb23ea168407,1728306042,1728306044,1728306049,64m,448Mi,8,1
0771c084-2afe-4870-b607-bb23ea168407,1728306042,1728306044,1728306049,64m,448Mi,8,1
0771c084-2afe-4870-b607-bb23ea168407,1728306042,1728306044,1728306049,64m,448Mi,8,1
7b90d126-f698-4db1-82db-1f854fdac6fa,1728305770,1728305772,1728306051,64m,896Mi,8,1
7b90d126-f698-4db1-82db-1f854fdac6fa,1728305770,1728305772,1728306051,64m,896Mi,8,1
7b90d126-f698-4db1-82db-1f854fdac6fa,1728305770,1728305772,1728306051,64m,896Mi,8,1
ff592960-b79c-4537-b695-1a5aa1ba838e,1728305008,1728305009,1728306057,64m,448Mi,8,1
ff592960-b79c-4537-b695-1a5aa1ba838e,1728305008,1728305009,1728306057,64m,448Mi,8,1
ff592960-b79c-4537-b695-1a5aa1ba838e,1728305008,1728305009,1728306057,64m,448Mi,8,1
200a83ac-5a70-4a4e-b73a-1e941fbaa9ed,1728305006,1728305008,1728306057,64m,448Mi,8,1
200a83ac-5a70-4a4e-b73a-1e941fbaa9ed,1728305006,1728305008,1728306057,64m,448Mi,8,1
200a83ac-5a70-4a4e-b73a-1e941fbaa9ed,1728305006,1728305008,1728306057,64m,448Mi,8,1
baf72aeb-f2b1-414a-9002-2423d5b5e18a,1728305007,1728305009,1728306058,64m,448Mi,8,1
baf72aeb-f2b1-414a-9002-2423d5b5e18a,1728305007,1728305009,1728306058,64m,448Mi,8,1
baf72aeb-f2b1-414a-9002-2423d5b5e18a,1728305007,1728305009,1728306058,64m,448Mi,8,1
38c00dc0-cb37-4d06-b6e1-dfa5a4481719,1728305757,1728305760,1728306065,64m,448Mi,8,4
38c00dc0-cb37-4d06-b6e1-dfa5a4481719,1728305757,1728305760,1728306065,64m,448Mi,8,4
38c00dc0-cb37-4d06-b6e1-dfa5a4481719,1728305757,1728305760,1728306065,64m,448Mi,8,4
3adf7555-9ce2-46dc-86e1-b158e35a3c0f,1728306065,1728306067,1728306071,64m,896Mi,8,2
3adf7555-9ce2-46dc-86e1-b158e35a3c0f,1728306065,1728306067,1728306071,64m,896Mi,8,2
3adf7555-9ce2-46dc-86e1-b158e35a3c0f,1728306065,1728306067,1728306071,64m,896Mi,8,2
f1cbd917-8297-4f4a-8bf5-12ff8f640afe,1728306075,1728306078,1728306088,64m,896Mi,8,2
f1cbd917-8297-4f4a-8bf5-12ff8f640afe,1728306075,1728306078,1728306088,64m,896Mi,8,2
